label,ruta_npy,num_frames
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_161956_909.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162001_277.npy,18
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162004_613.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162009_115.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162011_734.npy,18
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162014_547.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162017_654.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162021_580.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162025_720.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162028_169.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162033_449.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162038_276.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162040_696.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162043_031.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162045_041.npy,20
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162047_138.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162049_253.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162051_405.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162053_334.npy,19
j,/home/marcos/GitHub/LSM/Dataset/sequences/j_20260523_162055_289.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162107_727.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162109_902.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162112_010.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162114_847.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162117_187.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162119_761.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162122_600.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162125_037.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162127_455.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162129_663.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162155_618.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162157_938.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162200_173.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162202_636.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162205_146.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162207_299.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162209_528.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162211_909.npy,19
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162214_130.npy,20
k,/home/marcos/GitHub/LSM/Dataset/sequences/k_20260523_162216_641.npy,20
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162751_431.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162753_918.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162757_135.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162759_413.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162801_663.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162803_818.npy,20
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162806_294.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162808_388.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162810_468.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162812_592.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162817_800.npy,17
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162820_078.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162822_460.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162824_721.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162826_784.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162828_860.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162831_048.npy,20
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162833_219.npy,18
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162835_525.npy,19
q,/home/marcos/GitHub/LSM/Dataset/sequences/q_20260523_162837_448.npy,17
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163236_405.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163239_639.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163242_866.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163246_002.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163249_727.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163252_868.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163255_961.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163259_088.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163302_288.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163305_299.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163308_560.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163316_705.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163320_026.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163324_647.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163328_745.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163332_562.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163335_978.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163339_684.npy,18
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163342_868.npy,19
x,/home/marcos/GitHub/LSM/Dataset/sequences/x_20260523_163346_281.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163444_926.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163447_427.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163449_953.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163452_401.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163454_687.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163457_400.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163459_942.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163502_665.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163505_343.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163507_539.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163512_648.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163515_272.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163517_562.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163520_036.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163522_628.npy,20
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163524_994.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163527_965.npy,18
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163530_628.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163600_450.npy,19
z,/home/marcos/GitHub/LSM/Dataset/sequences/z_20260523_163603_192.npy,18
hola,/home/dracdarktime/Documents/Maestria/Semestre_II/Aprendizaje_Maquina/Manos/LSM/Dataset/sequences/hola_20260525_142339_403.npy,27
hola,/home/dracdarktime/Documents/Maestria/Semestre_II/Aprendizaje_Maquina/Manos/LSM/Dataset/sequences/hola_20260525_142405_163.npy,27
hola,/home/dracdarktime/Documents/Maestria/Semestre_II/Aprendizaje_Maquina/Manos/LSM/Dataset/sequences/hola_20260525_142650_993.npy,27
adios,/home/dracdarktime/Documents/Maestria/Semestre_II/Aprendizaje_Maquina/Manos/LSM/Dataset/sequences/adios_20260525_142708_493.npy,26
jaja,/home/dracdarktime/Documents/Maestria/Semestre_II/Aprendizaje_Maquina/Manos/LSM/Dataset/sequences/jaja_20260525_143031_473.npy,94
